approved,hgnc_symbol,drugs_gained,moas_gained,confidence,sample_tokens,sample_drugs,sample_moas,top_broad_cancers,notes
,PORCN,2,2,1.0,porcn; porcupine o-acyltransferase,lgk974; xnw7201,porcn_inhibitor; porcupineoacyltransferase_inhibitor,Skin Cancers; Pancreatic Cancer; Colorectal Cancer; Breast Cancer; Head and Neck Cancers,
,PTHLH,2,2,1.0,pthrp,bgm-2121; pck3145,mmp9_pthrp_inhibitor; pthrp_inhibitor,Solid tumors; Prostate Cancer,
,PVR,2,2,1.0,pvr; pvr interaction,ntx-1088; tiraglolumab,pvr_blocker; pvrinteraction_tigit_blocker,Anal Cancer; Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Appendix Cancer,
,RBM39,2,2,1.0,rbm39,indisulam; rec-1245,dcaf15_rbm39_degrader; rbm39_degrader,Bone and Joint Cancers; Hematological Malignancies; Skin Cancers; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,RPS6KB1,2,2,0.9,p70s6k,ly2584702; msc2363318a,akt_p70s6k_inhibitor; p70s6k_inhibitor,Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,S1PR1,2,2,1.0,s1p1; s1p1 functional,lm303; vtx002,s1p1_modulator; s1p1functional_antagonist,Solid tumors,
,SIGLEC10,2,2,1.0,siglec-10 interaction; siglec10 to activate immune cells,atg-031; onc-841,cd24_siglec10interaction_blocker; siglec10toactivateimmunecells_blocker,,
,SLC34A2,2,2,1.0,napi2b,lm-2417; upifitamab rilsodotin,41bbbispecific_napi2b_antibody; napi2b_targeted,Gynecological Cancers; Lung Cancers; Solid tumors,
,STAB1,2,2,1.0,clever-1,bexmarilimab; fp-1305,clever1_antibody; clever1_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer,
,TEK,2,2,1.0,tie2,esk981; pexmetinib,fgfr1_pikfyve_tie2_vegfr13_inhibitor; p38mapk_tie2_inhibitor,,
,TFRC,2,2,1.0,tfr1,kk2260; ppmx-t003,tfr1_antagonist; tfr1_modulator,Hematological Malignancies; Solid tumors,
,TNFRSF13C,2,2,1.0,baff-r,esg206; ly4152199,baffr_cd3bispecific_antibody; baffr_inhibitor,Hematological Malignancies,
,TNFSF13B,2,2,1.0,baff monoclonal; blys-specific,belimumab; ly2127399,baffmonoclonal_antibody; blysspecific_inhibitor,Hematological Malignancies; Specific Syndromes,
,TRPV6,2,2,1.0,trpv6,cbp-1008; cbp-1019,folr1_topo1_trpv6_inhibitor; fr_trpv6_targeted,Solid tumors,
,TTK,2,2,1.0,monopolar spindle 1; ttk,bal0891; s81694,monopolarspindle1_inhibitor; plk1mitoticcheckpoint_ttk_inhibitor,Solid tumors; Breast Cancer; Gastric (Stomach) Cancer; Hematological Malignancies,
,TYRP1,2,2,1.0,tyrp1,imc-20d7s; ro7293583,cd3_tyrp1_activator; tyrp1_antibody,Skin Cancers; Brain and Other Nervous System,
,VEGFC,2,2,1.0,vegf-c,lymfactin; vgx-100,vegfc_activator; vegfc_inhibitor,Hematological Malignancies; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,XIAP,2,2,1.0,xiap,birinapant; tolinapant,birc3_antagonist; ciap1_ciap2_xiap_antagonist,Skin Cancers; Head and Neck Cancers; Gynecological Cancers; Colorectal Cancer; Hematological Malignancies,
,ACAT1,2,1,1.0,acat1,apomine; atr-101,acat1_inhibitor,Solid tumors,
,ADORA3,2,1,1.0,a3 adenosine,compound 451238; namodenoson,a3adenosine_agonist,Pancreatic Cancer; Liver and Bile Duct Cancers; Soft Tissue Cancers (including Heart),
,BRD2,2,1,1.0,bet (brd2,bms-986378; pelabresib,betbrd2_brd3_brd4_brdt_inhibitor,Hematological Malignancies; Solid tumors; Brain and Other Nervous System; Bone and Joint Cancers; Liver and Bile Duct Cancers,
,BRD3,2,1,1.0,brd3,bms-986378; pelabresib,betbrd2_brd3_brd4_brdt_inhibitor,Hematological Malignancies; Solid tumors; Brain and Other Nervous System; Bone and Joint Cancers; Liver and Bile Duct Cancers,
,BRDT,2,1,1.0,brdt),bms-986378; pelabresib,betbrd2_brd3_brd4_brdt_inhibitor,Hematological Malignancies; Solid tumors; Brain and Other Nervous System; Bone and Joint Cancers; Liver and Bile Duct Cancers,
,CFH,2,1,1.0,cfh,gt103; qh103,cfh_inhibitor,Hematological Malignancies; Lung Cancers,
,COMT,2,1,1.0,comt,entacapone; tolcapone,comt_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Gastrointestinal Stromal Tumors; Gastric (Stomach) Cancer,
,DDX58,2,1,1.0,rig-i,bo-112; poly i: poly c,mda5_rigi_tlr3_agonist,Soft Tissue Cancers (including Heart); Skin Cancers; Brain and Other Nervous System; Bone and Joint Cancers; Ampullary Adenocarcinoma,
,GSPT1,2,1,1.0,gspt1,cg009301; fd-001,gspt1_degrader,Hematological Malignancies; Liver and Bile Duct Cancers,
,GSTP1,2,1,1.0,gstp1-1,canfosfamide; tlk199,gstp11_inhibitor,Hematological Malignancies,
,HDAC11,2,1,1.0,hdac11,mgcd0103; mocetinostat,hdac1_hdac11_hdac2_hdac3_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Bone and Joint Cancers; Brain and Other Nervous System; Pediatric Cancers,
,HGF,2,1,1.0,hgf,av-299; ficlatuzumab,hgf_inhibitor,Head and Neck Cancers; Skin Cancers; Lung Cancers; Hematological Malignancies; Solid tumors,
,HTR4,2,1,1.0,5-ht4,mosapride; prucalopride,5ht4_agonist,Colorectal Cancer; Gastric (Stomach) Cancer,
,IFIH1,2,1,1.0,mda5,bo-112; poly i: poly c,mda5_rigi_tlr3_agonist,Soft Tissue Cancers (including Heart); Skin Cancers; Brain and Other Nervous System; Bone and Joint Cancers; Ampullary Adenocarcinoma,
,KAT6B,2,1,1.0,kat6b,hrs-2189; prifetrastat,kat6a_kat6b_inhibitor,Skin Cancers; Colorectal Cancer; Breast Cancer; Prostate Cancer,
,LOXL2,2,1,1.0,loxl2,gb2064; simtuzumab,loxl2_inhibitor,Hematological Malignancies; Pancreatic Cancer,
,MKNK1,2,1,1.0,mnk1,tinodasertib; tomivosertib,mnk1_mnk2_inhibitor,Colorectal Cancer; Hematological Malignancies; Solid tumors; Breast Cancer; Lung Cancers,
,MKNK2,2,1,1.0,mnk2,tinodasertib; tomivosertib,mnk1_mnk2_inhibitor,Colorectal Cancer; Hematological Malignancies; Solid tumors; Breast Cancer; Lung Cancers,
,NLRP3,2,1,1.0,nlrp3,dapansutrile; rrx-001,nlrp3_inhibitor,Brain and Other Nervous System; Skin Cancers,
,OPRT,2,1,1.0,oprt,"tegafur, gimeracil, and oteracil; tegafur/gimeracil/oteracil",oprt_prodrugof5fudpd_inhibitor,Solid tumors,
,PTPN1,2,1,1.0,ptpn1,abbv-cls-484; abbv-cls-579,ptpn1_ptpn2_inhibitor,Solid tumors,
,PTPN2,2,1,1.0,ptpn2,abbv-cls-484; abbv-cls-579,ptpn1_ptpn2_inhibitor,Solid tumors,
,SLC5A1,2,1,1.0,sglt1,licogliflozin; lx4211,sglt1_sglt2_inhibitor,,
,SOST,2,1,1.0,sclerostin,romosozumab; sclerfix,sclerostin_inhibitor,Brain and Other Nervous System; Ocular Cancers; Hematological Malignancies; Bone and Joint Cancers,
,STS,2,1,1.0,steroid sulfatase,bn83495; irosustat,steroidsulfatase_inhibitor,Breast Cancer; Gynecological Cancers; Prostate Cancer,
,TFDP2,2,1,1.0,dp2,fevipiprant; timapiprant,dp2_antagonist,,
,THPO,2,1,1.0,thrombopoietin,avatrombopag; herombopag,thrombopoietin_agonist,Solid Tumors; Gastrointestinal Stromal Tumors; Breast Cancer,
,TMPRSS6,2,1,1.0,tmprss6,9mw3011; disc-3405,tmprss6_inhibitor,Hematological Malignancies,
,TNKS1,2,1,0.9,2 (tnks1,rk-582; stp1002,2_2tnks1_tankyrase1_inhibitor,Solid tumors; Colorectal Cancer; Hematological Malignancies,
,TRPM8,2,1,1.0,trpm8,ec d-3263; menthol,trpm8_agonist,Gastric (Stomach) Cancer; Skin Cancers; Colorectal Cancer; Solid tumors,
,TYMP,2,1,1.0,thymidine phosphorylase,ftd-tpi; tipiracil,thymidinephosphorylase_inhibitor,Colorectal Cancer; Esophageal Cancer; Gastric (Stomach) Cancer; Liver and Bile Duct Cancers; Pancreatic Cancer,
,VKORC1,2,1,1.0,vitamin k epoxide reductase,phenprocoumon; warfarin,vitaminkepoxidereductase_inhibitor,Prostate Cancer; Solid tumors; Specific Syndromes; Hematological Malignancies; Skin Cancers,
,XDH,2,1,1.0,xanthine oxidase,allopurinol; febuxostat,xanthineoxidase_inhibitor,Hematological Malignancies; Specific Syndromes; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer,
,ACVR2B,1,1,0.8,actriib monoclonal,bimagrumab,actriibmonoclonal_antibody,,
,ADA,1,1,0.9,adenosine deaminase,pentostatin,adenosinedeaminase_inhibitor,Hematological Malignancies; Kidney (Renal) and Urethral Cancers; Prostate Cancer; Mesothelioma; Lung Cancers,
,ADAM10,1,1,1.0,adam10,aderbasib,adam10_adam17metalloprotease_inhibitor,,
,ADAM17,1,1,1.0,adam17 metalloprotease,aderbasib,adam10_adam17metalloprotease_inhibitor,,
,ADAR1,1,1,1.0,adar1 splicing,rebecsinib,adar1splicing_inhibitor,Hematological Malignancies,
,ADGRE2,1,1,1.0,adgre2,adclec.syn1,adgre2_clec12aexpressingcells_targeted,,
,ADRA1A,1,1,1.0,alpha-1a adrenergic,kso-0400,alpha1aadrenergic_antagonist,Prostate Cancer,
,ADRA2A,1,1,1.0,α2a-adrenergic,ano31905,2aadrenergic_agonist,Pancreatic Cancer,
,ADRB3,1,1,1.0,beta-3 adrenergic,mirabegron,beta3adrenergic_agonist,Hematological Malignancies; Bladder Cancer; Lung Cancers; Gynecological Cancers; Prostate Cancer,
,AGER,1,1,1.0,rage,ttp488,rage_inhibitor,Breast Cancer,
,AGTR1,1,1,0.8,at1r,sparsentan,at1r_etar_antagonist,Bladder Cancer,
,AHR,1,1,1.0,ahr,da-4505,ahr_inhibitor,,
,ALB,1,1,1.0,reversibly to serum albumin,gadofosveset trisodium,reversiblytoserumalbumin_binder,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,ALDH3A1,1,1,1.0,aldh3a1 enzyme,alda-341,aldh3a1enzyme_activator,,
,ALOX5,1,1,1.0,5-lipoxygenase,zileuton,5lipoxygenase_inhibitor,Lung Cancers; Head and Neck Cancers,
,ALPK1,1,1,1.0,alpk1,ptt-936,alpk1_agonist,Solid tumors,
,ALPP,1,1,1.0,kills alpp-expressing tumor cells,retroviral vector-transduced autologous t cells to express anti-alpp cars,killsalppexpressingtumorcells_targeted,,
,ARG1,1,1,0.95,2 (arg1; arginase 1,oatd-02,2_2arg1_arginase1_inhibitor,,
,BACE1,1,1,1.0,bace1,e2609,bace1_inhibitor,,
,BCL9,1,1,1.0,bcl9 interaction,st316,bcl9interaction_catenin_antagonist,Colorectal Cancer,
,BIRC4,1,1,1.0,iap (xiap,lcl161,ciap1_ciap2_iapxiap_inhibitor,Hematological Malignancies; Solid tumors; Bladder Cancer; Breast Cancer,
,C3,1,1,1.0,c3 complement,pegcetacoplan,c3complement_inhibitor,Gynecological Cancers; Pancreatic Cancer,
,CAPRIN1,1,1,1.0,caprin-1 binding monoclonal,trk-950,caprin1bindingmonoclonal_antibody,Gynecological Cancers; Solid tumors; Gastric (Stomach) Cancer; Skin Cancers; Colorectal Cancer,
,CASP3,1,1,1.0,procaspase-3 by chelating zinc,pac-1,procaspase3bychelatingzinc_activator,,
,CCK,1,1,1.0,cholecystokinin,proglumide,cholecystokinin_antagonist,Pancreatic Cancer,
,CCL2,1,1,1.0,ccl2 interaction,ccr2,ccl2interaction_ccr2_blocker,,
,CCNK,1,1,1.0,cyclin-k,ct7439,cdk12_cdk13_cyclink_degrader,,
,CCR7,1,1,1.0,ccr7 monoclonal,cap-100,ccr7monoclonal_antibody,Hematological Malignancies,
,CCR9,1,1,1.0,kills ccr9-expressing cells,car-ccr9 t cells,killsccr9expressingcells_targeted,,
,CD2,1,1,1.0,cd2-directed monoclonal,siplizumab,cd2directedmonoclonal_antibody,Hematological Malignancies,
,CD200,1,1,1.0,cd200,samalizumab,cd200_inhibitor,Hematological Malignancies,
,CD200R1,1,1,1.0,cd200r1 immune checkpoint,23me-00610,cd200r1immunecheckpoint_inhibitor,Gynecological Cancers; Solid tumors; Bladder Cancer; Adrenal Cancer and Neuroendocrine Tumors; Lung Cancers,
,CD36,1,1,1.0,cd36,plt012,cd36_antibody,Solid tumors,
,CD9,1,1,1.0,cd9,kba1412,cd9_inhibitor,,
,CDA,1,1,1.0,cda,astx030,cda_dnmt_inhibitor,Hematological Malignancies,
,CDC7,1,1,1.0,cdc7,ly3143921 hydrate,cdc7_inhibitor,,
,CDH2,1,1,1.0,n-cadherin,adh-1,ncadherin_antagonist,Hematological Malignancies,
,CDK13,1,1,1.0,cdk13,ct7439,cdk12_cdk13_cyclink_degrader,,
,CDKN1A,1,1,1.0,p21 tumor suppressor gene,rag-01,p21tumorsuppressorgene_activator,Bladder Cancer,
,CEACAM1,1,1,1.0,ceacam1 checkpoint,cm-24,ceacam1checkpoint_inhibitor,Solid tumors; Lung Cancers; Pancreatic Cancer; Gynecological Cancers; Thyroid Cancer,
,CEACAM6,1,1,1.0,ceacam6 immune checkpoint,bay1834942,ceacam6immunecheckpoint_inhibitor,Solid tumors,
,CHD1L,1,1,1.0,alc1,eis-12656,alc1_inhibitor,Solid tumors,
,CLDN4,1,1,1.0,cldn4,asp1002,cd137bispecific_cldn4_antibody,Solid tumors,
,CLEC2D,1,1,1.0,clec2d interaction,mpl-009,cd161_clec2dinteraction_blocker,Pediatric Cancers; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,CMTR2,1,1,1.0,cmtr2,at-1965,cmtr2_inhibitor,,
,CNDP1,1,1,1.0,carnosinase 1,cndp1,carnosinase1_inhibitor,,
,CRHR1,1,1,1.0,crf1,nbi-74788,crf1_antagonist,Adrenal Cancer and Neuroendocrine Tumors,
,CTGF,1,1,1.0,connective tissue growth factor,pamrevlumab,connectivetissuegrowthfactor_inhibitor,Pancreatic Cancer,
,CTSC,1,1,1.0,dpp-1,bxcl701,dpp1_inhibitor,Prostate Cancer; Hematological Malignancies; Adrenal Cancer and Neuroendocrine Tumors; Ampullary Adenocarcinoma; Bladder Cancer,
,CTSK,1,1,1.0,cathepsin k,odanacatib,cathepsink_inhibitor,Breast Cancer; Bone and Joint Cancers,
,CX3CR1,1,1,1.0,cx3cr1,kand145,cx3cr1_antagonist,Gynecological Cancers,
,CXCL12,1,1,1.0,cxcl12,olaptesed pegol,cxcl12_inhibitor,Pancreatic Cancer; Colorectal Cancer; Brain and Other Nervous System,
,CXCL8,1,1,1.0,il-8,bms-986253,il8_inhibitor,Skin Cancers; Prostate Cancer; Pancreatic Cancer; Lung Cancers; Liver and Bile Duct Cancers,
,CYBB,1,1,1.0,cybb,apx-343a,cybb_nox1_nox4_inhibitor,Solid tumors,
,CYP24A1,1,1,1.0,cyp24a1,cta018,cyp24a1_vdragonist_antagonist,Bladder Cancer; Thyroid Cancer,
,CYP46A1,1,1,1.0,cholesterol 24-hydroxylase,soticlestat,cholesterol24hydroxylase_inhibitor,Specific Syndromes,
,DGAT1,1,1,1.0,dgat1,km1,dgat1_inhibitor,Gynecological Cancers,
,DLL1,1,1,1.0,dll1,pidilizumab,dll1_pd1_inhibitor,,
,DOT1L,1,1,1.0,dot1l,pinometostat,dot1l_inhibitor,Hematological Malignancies,
,DPEP1,1,1,1.0,renal dehydropeptidase-i,cilastatine,renaldehydropeptidasei_inhibitor,Gynecological Cancers; Bladder Cancer,
,DUT,1,1,1.0,dutpase,tas-114,dutpase_inhibitor,Solid tumors; Hematological Malignancies; Lung Cancers,
,E2F1,1,1,1.0,e2f-1,β-lapachone,e2f1_modulator,,
,EBP,1,1,1.0,sterol isomerase,sr31747a,sterolisomerase_inhibitor,Hematological Malignancies; Prostate Cancer,
,EEF1A2,1,1,1.0,eef1a2,plitidepsin,eef1a2_inhibitor,Hematological Malignancies; Solid tumors,
,EFNB2,1,1,1.0,ephrinb2,sephb4-hsa,ephb4interaction_ephrinb2_inhibitor,Bladder Cancer,
,EGFL7,1,1,1.0,egfl7,parsatuzumab,egfl7_endothelialcellinteraction_blocker,,
,EIF2AK3,1,1,1.0,perk,hc-5404-fu,perk_inhibitor,Kidney (Renal) and Urethral Cancers; Gastric (Stomach) Cancer; Breast Cancer; Lung Cancers; Solid Tumors,
,EIF4E,1,1,1.0,eif4e expression,isis 183750,eif4eexpression_inhibitor,,
,EIF5A,1,1,1.0,eif5a hypusination,eof5,eif5ahypusination_inhibitor,Gastric (Stomach) Cancer,
,EPO,1,1,1.0,epo,epoetin zeta,epo_erythropoiesisstimulant_agonist,Hematological Malignancies,
,ERAP1,1,1,1.0,erap1,grwd5769,erap1_inhibitor,,
,ESR2,1,1,1.0,estrogen beta,s-equol,estrogenbeta_agonist,Breast Cancer; Prostate Cancer,
,FABP5,1,1,1.0,fabp5,aur104,fabp5_inhibitor,Hematological Malignancies,
,FAS,1,1,1.0,fas,apo010,fas_agonist,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,FASLG,1,1,0.9,cd95 ligand,asunercept,cd95ligand_inhibitor,,
,FGF23,1,1,1.0,fgf23,burosumab,fgf23_inhibitor,Specific Syndromes,
,FTO,1,1,1.0,fto,bisantrene,dnaintercalator_fto_g4_inhibitor,Hematological Malignancies,
,GART,1,1,0.9,garft,pelitrexol,garft_mtorc1_inhibitor,Solid tumors,
,GAS6,1,1,1.0,gas6,batiraxcept,axlsignaling_gas6_inhibitor,,
,GAST,1,1,1.0,gastrin,z-360,cck2_gastrin_antagonist,Pancreatic Cancer,
,GCGR,1,1,1.0,gcgr,mazdutide,gcgr_glp1r_agonist,Specific Syndromes,
,GCNT3,1,1,1.0,gcnt3,talniflumate,caccchannel_gcnt3_inhibitor,Breast Cancer,
,GDNF,1,1,1.0,gdnf,jmt203,gdnf_inhibitor,,
,GH1,1,1,1.0,growth hormone,pegvisomant,growthhormone_antagonist,Specific Syndromes,
,GHRL,1,1,1.0,ghrelin,anamorelin,ghrelin_ghsr_agonist,Lung Cancers; Hematological Malignancies,
,GHSR,1,1,1.0,ghsr,anamorelin,ghrelin_ghsr_agonist,Lung Cancers; Hematological Malignancies,
,GLP1R,1,1,1.0,glp-1r,mazdutide,gcgr_glp1r_agonist,Specific Syndromes,
,GLS,1,1,1.0,glutaminase-1,iacs-6274,glutaminase1_inhibitor,Gynecological Cancers; Skin Cancers; Head and Neck Cancers; Hematological Malignancies; Bone and Joint Cancers,
,GPER1,1,1,0.9,gper,lns8801,gper_agonist,Solid tumors,
,GPR35,1,1,1.0,gpr35,ct3001,gpr35_inhibitor,Solid tumors; Colorectal Cancer; Pancreatic Cancer,
,GPR65,1,1,1.0,gpr65,ptt-4256,gpr65_inhibitor,,
,GPX4,1,1,1.0,gpx4,rls-1496,gpx4_modulator,Skin Cancers,
,GREM1,1,1,1.0,gremlin-1 binding to bmps,ginisortamab,gremlin1bindingtobmps_blocker,Solid tumors,
,GRM5,1,1,1.0,mglu5,mw05,mglu5_modulator,,
,GRN,1,1,1.0,glycoprotein 88 (pgrn; progranulin,ag-01,glycoprotein88pgrn_gp88action_progranulin_inhibitor,Breast Cancer; Lung Cancers; Mesothelioma,
,GRP,1,1,1.0,to gastrin-releasing peptide,copper-64 labelled sar-bombesin,togastrinreleasingpeptide_binder,Prostate Cancer,
,GSK3A,1,1,1.0,gsk-3 alpha,ly2090314,beta_gsk3alpha_inhibitor,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,GSK3B,1,1,1.0,gsk-3β,elraglusib,gsk3_inhibitor,,
,HAMP,1,1,1.0,hepcidin,nox-h94,hepcidin_inhibitor,,
,HCAR2,1,1,1.0,niacr1,myristyl nicotinate,hcar3_niacr1_agonist,,
,HCAR3,1,1,1.0,hcar3,myristyl nicotinate,hcar3_niacr1_agonist,,
,HDAC10,1,1,1.0,hdac10,chidaniline,hdac1_hdac10_hdac2_hdac3_inhibitor,Hematological Malignancies,
,HDAC8,1,1,1.0,hdac8,nbm-bmx,hdac8_inhibitor,,
,HJV,1,1,1.0,hjv,disc-0974,hjv_inhibitor,Hematological Malignancies,
,HSD11B1,1,1,1.0,11β-hydroxysteroid dehydrogenase 1,spi-62,11hydroxysteroiddehydrogenase1_inhibitor,Specific Syndromes; Adrenal Cancer and Neuroendocrine Tumors,
,HSD17B10,1,1,1.0,hsd10,risperidone lipid formulation,hsd10_inhibitor,,
,HSF1,1,1,1.0,hsf1,nxp800,gcn2_hsf1_activator,Gynecological Cancers; Solid tumors,
,HSPB1,1,1,1.0,hsp27 heat shock,apatorsen,hsp27heatshock_inhibitor,,
,HTR2C,1,1,1.0,serotonin 5-ht2c,bexicaserin,serotonin5ht2c_agonist,Specific Syndromes,
,IGF2,1,1,1.0,igf-2 ligand-neutralizing,xentuzumab,igf1_igf2ligandneutralizing_antibody,Breast Cancer; Hematological Malignancies; Prostate Cancer; Lung Cancers,
,IGSF8,1,1,1.0,igsf8,gv20-0251,igsf8_inhibitor,,
,IKZF2,1,1,1.0,ikzf2,dky709,ikzf2_degrader,Lung Cancers; Skin Cancers; Head and Neck Cancers; Colorectal Cancer; Breast Cancer,
,IL11,1,1,1.0,il-11,ls11,il11_inhibitor,Brain and Other Nervous System,
,IL11RA,1,1,1.0,il-11ra,bmtp-11,il11ra_antagonist,,
,IL1RL1,1,1,1.0,st2,nerofe,st2_binder,Hematological Malignancies; Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer,
,IL21,1,1,1.0,half-life extended il-21,js014,halflifeextendedil21_agonist,,
,IL21R,1,1,1.0,il-21r,latikafusp,il21r_pd1blocker_agonist,,
,IL22,1,1,1.0,il-22,il-22bp,il22_antagonist,Solid tumors,
,IL33,1,1,1.0,interleukin-33,etokimab,interleukin33_inhibitor,Hematological Malignancies,
,IL4I1,1,1,1.0,il4i1,mk-6598,il4i1_inhibitor,,
,IL5RA,1,1,1.0,eliminates il-5rα,il-5 car-t cells,eliminatesil5r_eosinophils_targeted,,
,IL9,1,1,1.0,il-9,bnz132-1-40,il15_il2_il9_inhibitor,Hematological Malignancies,
,ILDR2,1,1,1.0,ildr2,bapotulimab,ildr2_inhibitor,Solid tumors; Head and Neck Cancers,
,IRAK1,1,1,1.0,irak1,r906289,irak1_irak4_inhibitor,Hematological Malignancies,
,IRS1,1,1,1.0,irs1,nt219,irs1_irs2_stat3_inhibitor,Head and Neck Cancers; Solid tumors; Colorectal Cancer,
,IRS2,1,1,1.0,irs2,nt219,irs1_irs2_stat3_inhibitor,Head and Neck Cancers; Solid tumors; Colorectal Cancer,
,ITGA4,1,1,1.0,integrin alpha4,alintegimod,alphal_beta1_beta2_integrinalpha4_activator,Lung Cancers; Kidney (Renal) and Urethral Cancers; Liver and Bile Duct Cancers; Skin Cancers; Bladder Cancer,
,ITGAL,1,1,1.0,alphal,alintegimod,alphal_beta1_beta2_integrinalpha4_activator,Lung Cancers; Kidney (Renal) and Urethral Cancers; Liver and Bile Duct Cancers; Skin Cancers; Bladder Cancer,
,ITGAM,1,1,1.0,cd11b signaling,asd141,cd11bsignaling_tlt1_blocker,Solid tumors,
,ITGAV,1,1,0.9,αv integrin ligand binding,emd525797,vintegrinligandbinding_inhibitor,Solid tumors,
,ITK,1,1,1.0,itk,soquelitinib,itk_inhibitor,Hematological Malignancies; Solid Tumors,
,KAT2A,1,1,1.0,kat2a,autx-703,b_kat2a_degrader,,
,KEAP1,1,1,1.0,keap1,vvd-130037,keap1_activator,,
,KIF2C,1,1,1.0,cenp-e kinesin motor atpase,gsk923295,cenpekinesinmotoratpase_inhibitor,,
,KIR3DL2,1,1,1.0,kir3dl2 cytotoxicity-inducing monoclonal,lacutamab,kir3dl2cytotoxicityinducingmonoclonal_antibody,Hematological Malignancies,
,KISS1,1,1,1.0,kiss1,kisspeptin 112-121,kiss1_agonist,,
,KLRB1,1,1,1.0,cd161,mpl-009,cd161_clec2dinteraction_blocker,Pediatric Cancers; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,KPNB1,1,1,0.9,importin-β,mkc-1,akt_importin_mtor_tubulin_inhibitor,Gynecological Cancers; Breast Cancer; Colorectal Cancer; Lung Cancers; Pancreatic Cancer,
,LAMP1,1,1,1.0,lamp1 antibody-drug conjugate,sar428926,lamp1antibodydrugconjugate_tubulin_inhibitor,,
,LGALS9,1,1,1.0,galectin-9 monoclonal,lyt-200,galectin9monoclonal_antibody,,
,LPAR1,1,1,1.0,lpa1,pipe-791,lpa1_antagonist,,
,LRRC32,1,1,0.9,garp,livmoniplimab,garp_tgf1complex_antagonist,Liver and Bile Duct Cancers; Bladder Cancer; Solid tumors; Lung Cancers,
,MAGEA12,1,1,1.0,magea12,mage-12 peptide vaccine,magea12_inhibitor,Colorectal Cancer; Gynecological Cancers; Lung Cancers; Soft Tissue Cancers (including Heart); Bone and Joint Cancers,
,MAGEC2,1,1,1.0,mage-c2,tsc-201-b0702,magec2_tcrtcelltherapy_targeted,Gynecological Cancers; Skin Cancers; Head and Neck Cancers; Lung Cancers; Anal Cancer,
,MAP2K4,1,1,1.0,mkk4,hrx215,mkk4_inhibitor,Liver and Bile Duct Cancers,
,MAP3K12,1,1,0.8,dlk,xkdct225,dlk_inhibitor,Solid tumors,
,MAP4K4,1,1,1.0,map4k4,mb11,map4k4_inhibitor,Skin Cancers,
,MAPK8,1,1,1.0,jnk1,bms-986360,jnk1_inhibitor,Solid tumors,
,MAPKAPK2,1,1,1.0,mapkapk2,zunsemetinib,mapkapk2_inhibitor,Pancreatic Cancer,
,MASP1,1,1,1.0,masp-3,zaltenibart,masp3_inhibitor,,
,MASTL,1,1,1.0,mastl,ad1208,mastl_inhibitor,Solid tumors,
,MC3R,1,1,1.0,mc3r,mifomelatide,mc3r_mc4rmelanocortin_antagonist,,
,MELK,1,1,1.0,melk,ots167iv,melk_inhibitor,Solid tumors; Bone and Joint Cancers; Brain and Other Nervous System; Pediatric Cancers; Soft Tissue Cancers (including Heart),
,METTL3,1,1,1.0,mettl3,ep102,mettl3_inhibitor,Solid tumors,
,MIF,1,1,1.0,mif,mn-166,mif_phosphodiesteraseenzymes_inhibitor,Brain and Other Nervous System,
,MLANA,1,1,1.0,melan-a activity,melan-a ela,melanaactivity_modulator,,
,MTHFD1,1,1,1.0,mthfd1,th9619,mthfd1_mthfd2_inhibitor,Solid tumors; Colorectal Cancer; Head and Neck Cancers; Lung Cancers; Esophageal Cancer,
,MTHFD2,1,1,1.0,mthfd2,th9619,mthfd1_mthfd2_inhibitor,Solid tumors; Colorectal Cancer; Head and Neck Cancers; Lung Cancers; Esophageal Cancer,
,MYT1,1,1,1.0,myt1,sgr-3515,myt1_wee1_inhibitor,Solid tumors,
,NAMPT,1,1,1.0,nampt,nicotinamide adenine dinucleotide (nad) inhibitor,nampt_inhibitor,Hematological Malignancies; Skin Cancers,
